,Accuracy without normalization,zscore,minmax,maxabs,robust
rf,0.737,0.7524,0.7414,0.7458,0.7406
lightgbm,0.7339,0.7338,0.7374,0.7458,0.739
gbc,0.7327,0.7358,0.7334,0.7474,0.7422
et,0.7311,0.7394,0.7414,0.745,0.7366
xgboost,0.7232,0.7366,0.7307,0.7426,0.7335
ada,0.7046,0.724,0.7037,0.7149,0.7133
dt,0.6598,0.6538,0.6515,0.6491,0.6507
knn,0.6416,0.6526,0.6495,0.6372,0.7046
lda,0.6293,0.6269,0.634,0.6392,0.6202
ridge,0.6202,0.6285,0.6281,0.6333,0.6237
qda,0.5754,0.6047,0.6475,0.5905,0.6039
nb,0.575,0.6206,0.6055,0.6321,0.6083
svm,0.4998,0.5409,0.5612,0.5893,0.5433
dummy,0.499,0.499,0.499,0.499,0.5002
lr,0.4954,0.6254,0.6237,0.6345,0.6146
